rank,finalWorth,category,personName,age,country,city,source,selfMade,gender,lastName,firstName
22,54400,Media & Entertainment,David Thomson & family,65,Canada,Toronto,Media,FALSE,M,Thomson,David
23,50100,Technology,Michael Dell,58,United States,Austin,Dell Technologies,TRUE,M,Dell,Michael
24,47200,Diversified,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",TRUE,M,Adani,Gautam
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,TRUE,M,Knight,Phil
26,45000,Technology,Zhang Yiming,39,China,Beijing,TikTok,TRUE,M,Zhang,Yiming
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,Neckarsulm,Retail,FALSE,M,Schwarz,Dieter
28,40100,Fashion & Retail,François Pinault & family,86,France,Paris,Luxury goods,TRUE,M,Pinault,François
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,FALSE,M,Kuehne,Klaus-Michael
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",FALSE,M,Ferrero,Giovanni
31,38300,Food & Beverage,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",FALSE,F,Mars,Jacqueline
31,38300,Food & Beverage,John Mars,87,United States,Jackson,"Candy, pet food",FALSE,M,Mars,John
33,38000,Diversified,Li Ka-shing,94,Hong Kong,Blank,Diversified,TRUE,M,Li,Ka-shing
34,35300,Technology,Ma Huateng,51,China,Shenzhen,Internet media,TRUE,M,Ma,Huateng
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Las Vegas,Casinos,FALSE,F,Adelson,Miriam
35,35000,Finance & Investments,Ken Griffin,54,United States,Miami,Hedge funds,TRUE,M,Griffin,Ken
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,Salzburg,Red Bull,FALSE,M,Mateschitz,Mark
38,33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,TRUE,M,Zeng,Robin
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,TRUE,M,Yanai,Tadashi
40,32100,Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",TRUE,M,Blavatnik,Len
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,FALSE,M,Wertheimer,Alain
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,FALSE,M,Wertheimer,Gerard
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,TRUE,M,Aponte,Gianluigi
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,TRUE,F,Aponte-Diamant,Rafaela
45,30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,TRUE,M,Huang,Colin Zheng
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,TRUE,M,Wuerth,Reinhold
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,TRUE,M,Lee,Shau Kee
48,28500,Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",TRUE,M,Yass,Jeff
49,28100,Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,TRUE,M,Simons,Jim
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,TRUE,M,Schwarzman,Stephen
51,27400,Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",FALSE,F,Klatten,Susanne
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,FALSE,F,Rinehart,Gina
53,26700,Technology,William Ding,51,China,Hangzhou,Online games,TRUE,M,Ding,William
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,FALSE,M,Larrea Mota Velasco,Germán
55,25600,Technology,Shiv Nadar,77,India,Delhi,software services,TRUE,M,Nadar,Shiv
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,TRUE,M,Low Tuck,Kwong
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,TRUE,M,Peterffy,Thomas
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",TRUE,M,Melnichenko,Andrey
59,24600,Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,FALSE,M,Quandt,Stefan
60,24400,Technology,MacKenzie Scott,52,United States,Seattle,Amazon,FALSE,F,Scott,MacKenzie
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",FALSE,M,Hartono,R. Budi
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,TRUE,M,Potanin,Vladimir
63,23500,Technology,Jack Ma,58,China,Hangzhou,E-commerce,TRUE,M,Ma,Jack
64,23400,Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,TRUE,M,He,Xiangjian
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,FALSE,F,Fontbona,Iris
65,23100,Manufacturing,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",FALSE,M,Hartono,Michael
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,TRUE,M,Ratcliffe,James
68,22600,Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,FALSE,M,Poonawalla,Cyrus
69,22400,Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",TRUE,M,Son,Masayoshi
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",TRUE,M,Lisin,Vladimir
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,FALSE,M,Besnier,Emmanuel
72,21600,Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,FALSE,F,Johnson,Abigail
72,21600,Energy,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",TRUE,M,Mikhelson,Leonid
74,21200,Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,FALSE,M,Walton,Lukas
74,21200,Service,Wang Wei,52,China,Shenzhen,Package delivery,TRUE,M,Wang,Wei
76,21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,TRUE,M,Huang,Jensen
77,21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,FALSE,M,Lauder,Leonard
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,Osaka,Sensors,TRUE,M,Takizaki,Takemitsu
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",TRUE,M,Mordashov,Alexey
80,20500,Energy,Vagit Alekperov,72,Russia,Moscow,Oil,TRUE,M,Alekperov,Vagit
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,TRUE,M,Frist,Thomas
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,TRUE,M,Forrest,Andrew
83,19100,Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,TRUE,M,Dalio,Ray
84,19000,Automotive,Eric Li,59,China,Hangzhou,Automobiles,TRUE,M,Li,Eric
84,19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",TRUE,M,Wang,Wenyin
86,18900,Diversified,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",FALSE,M,Ofer,Eyal
86,18900,Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,TRUE,M,Qin,Yinglin
88,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",TRUE,M,Wang,Chuanfu
89,18500,Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,TRUE,M,Hamm,Harold
89,18500,Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,TRUE,M,Tepper,David
89,18500,Energy,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",TRUE,M,Timchenko,Gennady
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,TRUE,M,Gilbert,Daniel
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,FALSE,M,Mittal,Lakshmi
94,17500,Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,TRUE,M,Cohen,Steve
94,17500,Finance & Investments,Carl Icahn,87,United States,Indian Creek,Investments,TRUE,M,Icahn,Carl
94,17500,Metals & Mining,Savitri Jindal & family,73,India,Hisar,Steel,FALSE,F,Jindal,Savitri
97,17400,Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,TRUE,M,Bren,Donald
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,TRUE,M,Menard,John
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",FALSE,M,Murdoch,Rupert
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,FALSE,F,Safra,Vicky
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",FALSE,M,Albrecht,Theo
101,16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,Prague,"Finance, telecommunications",FALSE,F,Kellnerova,Renata
103,16300,Healthcare,Li Xiting,72,China,Shenzhen,medical devices,TRUE,M,Li,Xiting
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,Stockholm,H&M,FALSE,M,Persson,Stefan
104,16200,Technology,Eric Schmidt,67,United States,Atherton,Google,TRUE,M,Schmidt,Eric
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Geneva,Hedge funds,TRUE,M,Platt,Michael
107,15900,Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,TRUE,M,Pang,Kang
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,0,Germany,Blank,Supermarkets,FALSE,M,Albrecht Jr.,Karl
108,15800,Fashion & Retail,Beate Heister,0,Blank,Blank,Supermarkets,FALSE,F,Heister,Beate
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Zurich,Beer,TRUE,M,Lemann,Jorge Paulo
108,15800,Real Estate,Peter Woo,76,Hong Kong,Hong Kong,Real estate,FALSE,M,Woo,Peter
112,15600,Healthcare,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,TRUE,M,Shanghvi,Dilip
113,15500,Technology,Robert Pera,45,United States,San Jose,Wireless networking,TRUE,M,Pera,Robert
114,15300,Fashion & Retail,Radhakishan Damani,68,India,Mumbai,"Retail, investments",TRUE,M,Damani,Radhakishan
115,15200,Automotive,Huang Shilin,56,China,Ningde,Batteries,TRUE,M,Huang,Shilin
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,FALSE,M,Chearavanont,Dhanin
116,14900,Fashion & Retail,David Green & family,81,United States,Oklahoma City,Retail,TRUE,M,Green,David
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,Bangkok,"Alcohol, real estate",TRUE,M,Sirivadhanabhakdi,Charoen
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,London,Heineken,FALSE,F,de Carvalho-Heineken,Charlene
120,14600,Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,TRUE,M,Xu,Hang
121,14500,Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,TRUE,M,Wei,Jianjun
122,14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,Tashkent,"Steel, telecom, investments",TRUE,M,Usmanov,Alisher
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,Singapore,Paints,TRUE,M,Goh,Cheng Liang
124,14200,Diversified,Kumar Birla,55,India,Mumbai,Commodities,FALSE,M,Birla,Kumar
124,14200,Manufacturing,Aliko Dangote,65,Nigeria,Lagos,"Cement, sugar",TRUE,M,Dangote,Aliko
126,14100,Real Estate,Kwong Siu-hing,93,Hong Kong,Hong Kong,Real estate,FALSE,F,Kwong,Siu-hing
127,14000,Diversified,Idan Ofer,67,United Kingdom,London,Shipping,FALSE,M,Ofer,Idan
128,13900,Healthcare,Chen Bang,57,China,Changsha,Hospitals,TRUE,M,Chen,Bang
128,13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,Hong Kong,Casinos/hotels,TRUE,M,Lui,Che Woo
130,13700,Logistics,John Fredriksen,78,United Kingdom,London,Shipping,TRUE,M,Fredriksen,John
130,13700,Construction & Engineering,Diane Hendricks,76,United States,Afton,Building supplies,TRUE,F,Hendricks,Diane
130,13700,Technology,Jan Koum,47,United States,Atherton,WhatsApp,TRUE,M,Koum,Jan
133,13300,Sports,Jerry Jones,80,United States,Dallas,Dallas Cowboys,TRUE,M,Jones,Jerry
133,13300,Energy,George Kaiser,80,United States,Tulsa,"Oil & gas, banking",FALSE,M,Kaiser,George
133,13300,Real Estate,Joseph Lau,71,Hong Kong,Hong Kong,Real estate,TRUE,M,Lau,Joseph
136,13200,Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",TRUE,M,Lu,Xiangyang
137,13100,Real Estate,Harry Triguboff,90,Australia,Sydney,Real estate,TRUE,M,Triguboff,Harry
138,12900,Finance & Investments,Uday Kotak,64,India,Mumbai,Banking,TRUE,M,Kotak,Uday
138,12900,Sports,Stanley Kroenke,75,United States,Electra,"Sports, real estate",TRUE,M,Kroenke,Stanley
140,12600,Energy,Mikhail Fridman,58,United Kingdom,London,"Oil, banking, telecom",TRUE,M,Fridman,Mikhail
141,12300,Energy,Sarath Ratanavadi,57,Thailand,Bangkok,Energy,TRUE,M,Ratanavadi,Sarath
142,12200,Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,TRUE,M,Dang,Yanbao
142,12200,Healthcare,Jiang Rensheng & family,69,China,Chongqing,Vaccines,TRUE,M,Jiang,Rensheng
144,12100,Automotive,Shahid Khan,72,United States,Naples,Auto parts,TRUE,M,Khan,Shahid
145,12000,Technology,Laurene Powell Jobs & family,59,United States,Palo Alto,"Apple, Disney",FALSE,F,Powell Jobs,Laurene
146,11800,Diversified,Robert Kuok,99,Hong Kong,Hong Kong,"Palm oil, shipping, property",TRUE,M,Kuok,Robert
147,11600,Real Estate,Stephen Ross,82,United States,New York,Real estate,TRUE,M,Ross,Stephen
148,11500,Technology,Pavel Durov,38,United Arab Emirates,Dubai,Messaging app,TRUE,M,Durov,Pavel
148,11500,Healthcare,Andreas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,TRUE,M,Struengmann,Andreas
148,11500,Healthcare,Thomas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,TRUE,M,Struengmann,Thomas
151,11400,Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,TRUE,M,Liu,Hanyuan
151,11400,Fashion & Retail,Michael Rubin,50,United States,Bryn Mawr,Online retail,TRUE,M,Rubin,Michael
153,11300,Finance & Investments,Israel Englander,74,United States,New York,Hedge funds,TRUE,M,Englander,Israel
153,11300,Manufacturing,Viatcheslav Kantor,69,Israel,Herzliya,"Fertilizer, real estate",TRUE,M,Kantor,Viatcheslav
153,11300,Manufacturing,Anthony Pratt,62,Australia,Melbourne,Manufacturing,FALSE,M,Pratt,Anthony
153,11300,Finance & Investments,Mikhail Prokhorov,57,Switzerland,Frauenfeld,Investments,TRUE,M,Prokhorov,Mikhail
157,11100,Fashion & Retail,Giorgio Armani,88,Italy,Milan,Luxury goods,TRUE,M,Armani,Giorgio
157,11100,Fashion & Retail,Johann Rupert & family,72,South Africa,Cape Town,Luxury goods,FALSE,M,Rupert,Johann
159,11000,Finance & Investments,Gong Hongjia & family,58,Hong Kong,Hong Kong,Video surveillance,TRUE,M,Gong,Hongjia
159,11000,Technology,Zhang Zhidong,51,China,Shenzhen,Internet media,TRUE,M,Zhang,Zhidong
161,10900,Finance & Investments,Philip Anschutz,83,United States,Denver,"Energy, sports, entertainment",FALSE,M,Anschutz,Philip
161,10900,Fashion & Retail,Judy Love & family,85,United States,Oklahoma City,Gas stations,TRUE,F,Love,Judy
161,10900,Fashion & Retail,Ricardo Salinas Pliego & family,67,Mexico,Mexico City,"Retail, media",FALSE,M,Salinas Pliego,Ricardo
164,10700,Media & Entertainment,Donald Newhouse,93,United States,New York,Media,FALSE,M,Newhouse,Donald
165,10600,Sports,Robert Kraft,81,United States,Brookline,"Manufacturing, New England Patriots",TRUE,M,Kraft,Robert
165,10600,Food & Beverage,Marcel Herrmann Telles,73,Brazil,Sao Paulo,Beer,TRUE,M,Telles,Marcel Herrmann
167,10500,Finance & Investments,Suleiman Kerimov & family,57,Russia,Moscow,Gold,TRUE,M,Kerimov & family,Suleiman
167,10500,Fashion & Retail,Sky Xu,39,China,Guangzhou,E-commerce,TRUE,M,Xu,Sky
167,10500,Finance & Investments,Changpeng Zhao,45,United Arab Emirates,Dubai,Cryptocurrency exchange,TRUE,M,Zhao,Changpeng
170,10300,Finance & Investments,Andrew Beal,70,United States,Dallas,"Banks, real estate",TRUE,M,Beal,Andrew
171,10200,Technology,Mike Cannon-Brookes,43,Australia,Sydney,Software,TRUE,M,Cannon-Brookes,Mike
171,10200,Healthcare,Carl Cook,60,United States,Bloomington,Medical devices,FALSE,M,Cook,Carl
171,10200,Technology,David Duffield,82,United States,Incline Village,Business software,TRUE,M,Duffield,David
171,10200,Energy,Jeffery Hildebrand,64,United States,Houston,Oil,TRUE,M,Hildebrand,Jeffery
171,10200,Manufacturing,Viktor Rashnikov,74,Russia,Magnitogorsk,Steel,TRUE,M,Rashnikov,Viktor
171,10200,Technology,Eduardo Saverin,41,Singapore,Singapore,Facebook,TRUE,M,Saverin,Eduardo
171,10200,Automotive,Georg Schaeffler,58,Germany,Herzogenaurach,Auto parts,FALSE,M,Schaeffler,Georg
171,10200,Fashion & Retail,Christy Walton,74,United States,Jackson,Walmart,FALSE,F,Walton,Christy
179,10100,Technology,Scott Farquhar,43,Australia,Sydney,Software,TRUE,M,Farquhar,Scott
179,10100,Diversified,Quek Leng Chan,81,Malaysia,Kuala Lumpur,"Banking, property",FALSE,M,Quek,Leng Chan
179,10100,Real Estate,Wu Yajun,59,China,Beijing,Real estate,TRUE,F,Wu,Yajun
182,10000,Energy,Autry Stephens,85,United States,Midland,Oil,TRUE,M,Stephens,Autry
183,9900,Service,Liu Yongxing,74,China,Shanghai,Diversified,TRUE,M,Liu,Yongxing
184,9800,Diversified,Vinod Adani,74,United Arab Emirates,Dubai,"Infrastructure, commodities",TRUE,M,Adani,Vinod
184,9800,Fashion & Retail,Nicolas Puech,80,Switzerland,Martigny,Hermes,FALSE,M,Puech,Nicolas
184,9800,Logistics,"Jacques Saadé, Jr.",51,France,Marseille,Shipping,FALSE,M,Saadé,Jacques
184,9800,Logistics,Rodolphe Saadé,53,France,Marseille,Shipping,FALSE,M,Saadé,Rodolphe
184,9800,Logistics,Tanya Saadé Zeenny,55,France,Marseille,Shipping,FALSE,F,Saadé Zeenny,Tanya
184,9800,Finance & Investments,Melker Schorling & family,75,Sweden,Stockholm,Investments,TRUE,M,Schorling,Melker
190,9700,Manufacturing,Andrei Guriev & family,63,Russia,Moscow,Fertilizers,TRUE,M,Guriev & family,Andrei
190,9700,Finance & Investments,Michael Kim,59,South Korea,Seoul,Private equity,TRUE,M,Kim,Michael
190,9700,Technology,Lei Jun,53,China,Beijing,Smartphones,TRUE,M,Lei,Jun
190,9700,Manufacturing,Friedhelm Loh,76,Germany,Haiger,Manufacturing,FALSE,M,Loh,Friedhelm
190,9700,Healthcare,Sun Piaoyang,64,China,Lianyungang,Pharmaceuticals,TRUE,M,Sun,Piaoyang
195,9600,Technology,Rick Cohen & family,70,United States,Keene,Warehouse automation,FALSE,M,Cohen,Rick
195,9600,Energy,Jin Baofang,70,China,Xingtai,Solar panels,TRUE,M,Jin,Baofang
195,9600,Manufacturing,Luo Liguo & family,67,China,Ningbo,Chemicals,TRUE,M,Luo,Liguo
195,9600,Food & Beverage,Marijke Mars,58,United States,Los Angeles,"Candy, pet food",FALSE,F,Mars,Marijke
195,9600,Food & Beverage,Pamela Mars,62,United States,Alexandria,"Candy, pet food",FALSE,F,Mars,Pamela
195,9600,Food & Beverage,Valerie Mars,64,United States,New York,"Candy, pet food",FALSE,F,Mars,Valerie
195,9600,Food & Beverage,Victoria Mars,66,United States,Philadelphia,"Candy, pet food",FALSE,F,Mars,Victoria
202,9500,Finance & Investments,Vincent Bolloré & family,71,France,Paris,Investments,FALSE,M,Bolloré,Vincent
202,9500,Diversified,Jim Pattison,94,Canada,Vancouver,Diversified,TRUE,M,Pattison,Jim
204,9400,Healthcare,Ernesto Bertarelli,57,Switzerland,Gstaad,"Biotech, investments",FALSE,M,Bertarelli,Ernesto
204,9400,Technology,Wang Xing,44,China,Beijing,Food delivery,TRUE,M,Wang,Xing
206,9300,Technology,Brian Chesky,41,United States,San Francisco,Airbnb,TRUE,M,Chesky,Brian
206,9300,Manufacturing,James Dyson,75,United Kingdom,Gloucestershire,Vacuums,TRUE,M,Dyson,James
208,9200,Diversified,Roman Abramovich & family,56,Russia,Moscow,"Steel, investments",TRUE,M,Abramovich,Roman
208,9200,Diversified,Antonia Ax:son Johnson & family,79,Sweden,Stockholm,Diversified,FALSE,F,Ax:son Johnson,Antonia
208,9200,Energy,Daniel Kretinsky,47,Czech Republic,Prague,"Energy, investments",TRUE,M,Kretinsky,Daniel
208,9200,Media & Entertainment,John Malone,82,United States,Elizabeth,Cable television,TRUE,M,Malone,John
208,9200,Technology,Azim Premji,77,India,Bangalore,Software services,FALSE,M,Premji,Azim
208,9200,Finance & Investments,Charles Schwab,85,United States,Woodside,Discount brokerage,TRUE,M,Schwab,Charles
208,9200,Fashion & Retail,Eric Smidt,63,United States,Beverly Hills,Hardware stores,TRUE,M,Smidt,Eric
215,9000,Technology,David Cheriton,72,United States,Palo Alto,Google,TRUE,M,Cheriton,David
215,9000,Metals & Mining,Ivan Glasenberg,66,Switzerland,Ruschlikon,Mining,TRUE,M,Glasenberg,Ivan
215,9000,Real Estate,Alexander Otto,55,Germany,Hamburg,Real estate,FALSE,M,Otto,Alexander
215,9000,Food & Beverage,Anthony von Mandl,73,Canada,Vancouver,Alcoholic beverages,TRUE,M,von Mandl,Anthony
215,9000,Manufacturing,Wang Liping & family,57,China,Changzhou,Hydraulic machinery,TRUE,M,Wang,Liping
220,8900,Food & Beverage,Finn Rausing,68,United Kingdom,London,Packaging,FALSE,M,Rausing,Finn
220,8900,Food & Beverage,Jorn Rausing,63,United Kingdom,Surrey,Packaging,FALSE,M,Rausing,Jorn
220,8900,Food & Beverage,Kirsten Rausing,70,United Kingdom,Newmarket,Packaging,FALSE,F,Rausing,Kirsten
223,8800,Fashion & Retail,Tatyana Bakalchuk,47,Russia,Moscow region,Ecommerce,TRUE,F,Bakalchuk,Tatyana
223,8800,Technology,John Doerr,71,United States,Woodside,Venture capital,TRUE,M,Doerr,John
223,8800,Technology,Richard Liu,49,China,Beijing,E-commerce,TRUE,M,Liu,Richard
223,8800,Technology,Dustin Moskovitz,38,United States,San Francisco,Facebook,TRUE,M,Moskovitz,Dustin
223,8800,Technology,Pierre Omidyar,55,United States,Honolulu,"EBay, PayPal",TRUE,M,Omidyar,Pierre
223,8800,Energy,Pei Zhenhua,64,China,Ningde,Batteries,TRUE,M,Pei,Zhenhua
223,8800,Energy,Carrie Perrodo & family,72,United Kingdom,London,Oil,FALSE,F,Perrodo,Carrie
230,8700,Manufacturing,Chen Jianhua,52,China,Wujiang,Chemicals,TRUE,M,Chen,Jianhua
230,8700,Fashion & Retail,Michael Otto,79,Germany,Hamburg,"Retail, real estate",FALSE,M,Otto,Michael
232,8600,Finance & Investments,Leon Black,71,United States,New York,Private equity,TRUE,M,Black,Leon
232,8600,Finance & Investments,Graeme Hart,67,New Zealand,Auckland,Investments,TRUE,M,Hart,Graeme
232,8600,Food & Beverage,Ravi Jaipuria,68,India,Delhi,"Soft drinks, fast food",FALSE,M,Jaipuria,Ravi
232,8600,Technology,Hasso Plattner & family,79,Germany,Heidelberg,Software,TRUE,M,Plattner,Hasso
232,8600,Food & Beverage,Carlos Alberto Sicupira & family,75,Switzerland,St. Gallen,Beer,TRUE,M,Sicupira,Carlos Alberto
232,8600,Real Estate,Manuel Villar,73,Philippines,Manila,Real estate,TRUE,M,Villar,Manuel
232,8600,Technology,Andreas von Bechtolsheim & family,67,United States,Palo Alto,Google,TRUE,M,von Bechtolsheim,Andreas
239,8500,Finance & Investments,"Chase Coleman, III.",47,United States,New York,Investments,TRUE,M,Coleman,Chase
239,8500,Fashion & Retail,Ann Walton Kroenke,74,United States,Electra,Walmart,FALSE,F,Kroenke,Ann Walton
239,8500,Manufacturing,Li Zhenguo & family,55,China,Xi'an,Solar wafers and modules,TRUE,M,Li,Zhenguo
242,8400,Media & Entertainment,Jim Kennedy,75,United States,Atlanta,"Media, automotive",FALSE,M,Kennedy,Jim
242,8400,Metals & Mining,Nicky Oppenheimer & family,77,South Africa,Johannesburg,Diamonds,FALSE,M,Oppenheimer,Nicky
242,8400,Media & Entertainment,Blair Parry-Okeden,72,Australia,New South Wales,"Media, automotive",FALSE,F,Parry-Okeden,Blair
242,8400,Metals & Mining,Zheng Shuliang & family,77,China,Binzhou,Aluminum products,FALSE,F,Zheng,Shuliang
246,8300,Fashion & Retail,John Morris,75,United States,Springfield,Sporting goods retail,TRUE,M,Morris,John
246,8300,Fashion & Retail,Stefano Pessina,81,Monaco,Monte Carlo,Drugstores,FALSE,M,Pessina,Stefano
